index,Unnamed: 0,FileName,age,SPLIT
1338,1925,35_0_0_20170117175619787.jpg.chip.jpg,14,TRAIN
4837,6929,60_0_1_20170113174854844.jpg.chip.jpg,39,TRAIN
13083,18809,30_0_0_20170117000350509.jpg.chip.jpg,9,TRAIN
12238,17599,45_0_0_20170116232841111.jpg.chip.jpg,24,TRAIN
3185,4534,25_1_0_20170103163718321.jpg.chip.jpg,4,TRAIN
8637,12380,29_1_3_20170104232621386.jpg.chip.jpg,8,TRAIN
11459,16471,60_0_0_20170119145422774.jpg.chip.jpg,39,TRAIN
5243,7489,26_0_0_20170117171705044.jpg.chip.jpg,5,TRAIN
5233,7479,34_0_0_20170117182728950.jpg.chip.jpg,13,TRAIN
1663,2397,27_1_3_20170104223208693.jpg.chip.jpg,6,TRAIN
6963,10001,26_0_0_20170113210126011.jpg.chip.jpg,5,TRAIN
4868,6975,33_1_0_20170117174457343.jpg.chip.jpg,12,TRAIN
2176,3136,28_1_3_20170117184807423.jpg.chip.jpg,7,TRAIN
2681,3839,25_1_3_20170109132228225.jpg.chip.jpg,4,TRAIN
6485,9289,31_0_0_20170117172435086.jpg.chip.jpg,10,TRAIN
10251,14719,50_0_0_20170111201507166.jpg.chip.jpg,29,TRAIN
12609,18129,24_1_2_20170104021559044.jpg.chip.jpg,3,TRAIN
3809,5445,50_0_0_20170111171747287.jpg.chip.jpg,29,TRAIN
1734,2490,23_1_0_20170117144757777.jpg.chip.jpg,2,TRAIN
7741,11106,60_0_2_20170120221617188.jpg.chip.jpg,39,TRAIN
9964,14309,59_0_0_20170104212933919.jpg.chip.jpg,38,TRAIN
9943,14281,50_1_3_20170117151044708.jpg.chip.jpg,29,TRAIN
4552,6502,38_1_0_20170117154139859.jpg.chip.jpg,17,TRAIN
4066,5827,54_0_3_20170119201327821.jpg.chip.jpg,33,TRAIN
1873,2691,30_0_0_20170117130933486.jpg.chip.jpg,9,TRAIN
2246,3230,26_1_3_20170104222736351.jpg.chip.jpg,5,TRAIN
2840,4057,22_1_0_20170110173815028.jpg.chip.jpg,1,TRAIN
11816,16984,27_0_2_20170116163655761.jpg.chip.jpg,6,TRAIN
207,288,25_1_3_20170119172101233.jpg.chip.jpg,4,TRAIN
9295,13334,26_1_3_20170119193117522.jpg.chip.jpg,5,TRAIN
1800,2588,36_0_1_20170113141724667.jpg.chip.jpg,15,TRAIN
5636,8074,45_0_1_20170117171145629.jpg.chip.jpg,24,TRAIN
12160,17488,27_1_2_20170104021101637.jpg.chip.jpg,6,TRAIN
10660,15305,26_0_0_20170113182320758.jpg.chip.jpg,5,TRAIN
11586,16650,31_1_2_20170117164748522.jpg.chip.jpg,10,TRAIN
4505,6437,38_1_1_20170116175444213.jpg.chip.jpg,17,TRAIN
3664,5221,56_1_3_20170109141502576.jpg.chip.jpg,35,TRAIN
627,923,35_1_0_20170103182732026.jpg.chip.jpg,14,TRAIN
1389,2002,28_0_0_20170116003131512.jpg.chip.jpg,7,TRAIN
3442,4907,47_0_0_20170105173116787.jpg.chip.jpg,26,TRAIN
6896,9895,32_1_0_20170117134808277.jpg.chip.jpg,11,TRAIN
10167,14607,37_0_3_20170109012450792.jpg.chip.jpg,16,TRAIN
5256,7513,58_1_0_20170104185710750.jpg.chip.jpg,37,TRAIN
2332,3353,55_0_3_20170119181128452.jpg.chip.jpg,34,TRAIN
7940,11399,44_0_3_20170119200840702.jpg.chip.jpg,23,TRAIN
4324,6197,28_0_1_20170116192822460.jpg.chip.jpg,7,TRAIN
1518,2177,51_1_4_20170117123956403.jpg.chip.jpg,30,TRAIN
7116,10210,36_0_3_20170104220700302.jpg.chip.jpg,15,TRAIN
881,1275,30_1_1_20170112204445843.jpg.chip.jpg,9,TRAIN
6740,9660,31_0_1_20170117135536116.jpg.chip.jpg,10,TRAIN
4437,6352,26_1_3_20170104222810087.jpg.chip.jpg,5,TRAIN
1935,2788,39_1_3_20170104235854833.jpg.chip.jpg,18,TRAIN
2140,3086,23_0_2_20170116221009406.jpg.chip.jpg,2,TRAIN
12646,18190,21_1_0_20170109213126942.jpg.chip.jpg,0,TRAIN
5231,7474,27_0_1_20170117010142496.jpg.chip.jpg,6,TRAIN
3783,5403,23_1_2_20170105162514564.jpg.chip.jpg,2,TRAIN
284,395,26_1_1_20170116203803077.jpg.chip.jpg,5,TRAIN
12193,17535,31_0_4_20170108235352933.jpg.chip.jpg,10,TRAIN
4082,5861,23_1_2_20170116172814255.jpg.chip.jpg,2,TRAIN
4444,6360,46_0_2_20170104205205795.jpg.chip.jpg,25,TRAIN
8680,12446,27_1_2_20170116162057519.jpg.chip.jpg,6,TRAIN
7623,10927,59_0_0_20170111201348742.jpg.chip.jpg,38,TRAIN
9751,14006,40_1_0_20170104183639757.jpg.chip.jpg,19,TRAIN
5720,8202,28_0_3_20170119194507123.jpg.chip.jpg,7,TRAIN
1683,2421,46_0_0_20170113185333766.jpg.chip.jpg,25,TRAIN
573,830,22_1_2_20170108224643996.jpg.chip.jpg,1,TRAIN
3960,5672,30_1_2_20170116163932623.jpg.chip.jpg,9,TRAIN
569,825,22_1_3_20170104231710175.jpg.chip.jpg,1,TRAIN
8048,11547,35_0_0_20170117173311533.jpg.chip.jpg,14,TRAIN
2494,3571,51_1_0_20170110125229594.jpg.chip.jpg,30,TRAIN
8144,11689,24_1_0_20170117150853517.jpg.chip.jpg,3,TRAIN
3710,5287,26_0_4_20170103235429853.jpg.chip.jpg,5,TRAIN
666,972,32_0_1_20170113142343044.jpg.chip.jpg,11,TRAIN
11517,16553,35_0_4_20170104011337576.jpg.chip.jpg,14,TRAIN
9749,14002,52_0_0_20170117161039222.jpg.chip.jpg,31,TRAIN
10658,15302,25_1_2_20170116201708376.jpg.chip.jpg,4,TRAIN
481,687,24_0_1_20170113132554696.jpg.chip.jpg,3,TRAIN
12089,17381,40_0_2_20170116182746808.jpg.chip.jpg,19,TRAIN
8682,12451,26_0_1_20170116183512340.jpg.chip.jpg,5,TRAIN
2645,3792,23_1_0_20170116221812669.jpg.chip.jpg,2,TRAIN
5460,7822,26_1_0_20170117152703723.jpg.chip.jpg,5,TRAIN
2353,3383,30_1_2_20170116191316723.jpg.chip.jpg,9,TRAIN
7641,10957,35_0_1_20170113173610826.jpg.chip.jpg,14,TRAIN
3623,5166,32_0_3_20170104214518494.jpg.chip.jpg,11,TRAIN
7072,10154,32_0_1_20170116193730638.jpg.chip.jpg,11,TRAIN
7070,10152,43_1_3_20170109142242047.jpg.chip.jpg,22,TRAIN
1676,2414,27_1_1_20170114024839447.jpg.chip.jpg,6,TRAIN
7518,10791,60_0_0_20170117135052544.jpg.chip.jpg,39,TRAIN
10784,15485,35_1_0_20170117191520420.jpg.chip.jpg,14,TRAIN
10460,15020,29_0_3_20170117180744344.jpg.chip.jpg,8,TRAIN
4911,7039,23_0_2_20170116172858865.jpg.chip.jpg,2,TRAIN
11024,15832,28_1_1_20170116164405234.jpg.chip.jpg,7,TRAIN
931,1346,30_0_2_20170116174814595.jpg.chip.jpg,9,TRAIN
9488,13623,58_0_0_20170104213232283.jpg.chip.jpg,37,TRAIN
10637,15278,54_1_0_20170110122243471.jpg.chip.jpg,33,TRAIN
8447,12122,47_0_3_20170119201921580.jpg.chip.jpg,26,TRAIN
3156,4495,24_0_2_20170119165656526.jpg.chip.jpg,3,TRAIN
1999,2874,34_1_1_20170116224909263.jpg.chip.jpg,13,TRAIN
10249,14716,53_1_4_20170117204301062.jpg.chip.jpg,32,TRAIN
3167,4511,58_0_0_20170119211727401.jpg.chip.jpg,37,TRAIN
8224,11799,22_0_1_20170113195511076.jpg.chip.jpg,1,TRAIN
7547,10827,55_0_0_20170116222002492.jpg.chip.jpg,34,TRAIN
1626,2342,29_1_1_20170116162458302.jpg.chip.jpg,8,TRAIN
10844,15574,35_0_3_20170119201337652.jpg.chip.jpg,14,TRAIN
6187,8881,54_0_0_20170116171216593.jpg.chip.jpg,33,TRAIN
6015,8633,23_1_0_20170117145031171.jpg.chip.jpg,2,TRAIN
12216,17569,35_0_0_20170105164841588.jpg.chip.jpg,14,TRAIN
4914,7042,38_1_1_20170116000558878.jpg.chip.jpg,17,TRAIN
508,729,37_0_3_20170119175010298.jpg.chip.jpg,16,TRAIN
10512,15099,58_0_0_20170109013758613.jpg.chip.jpg,37,TRAIN
6805,9753,24_0_3_20170119144739660.jpg.chip.jpg,3,TRAIN
1673,2410,23_1_0_20170117144933457.jpg.chip.jpg,2,TRAIN
9704,13935,34_1_2_20170116193448303.jpg.chip.jpg,13,TRAIN
10973,15758,38_1_2_20170116164609841.jpg.chip.jpg,17,TRAIN
5179,7404,31_0_2_20170116170837254.jpg.chip.jpg,10,TRAIN
10008,14368,55_0_0_20170120222656161.jpg.chip.jpg,34,TRAIN
6971,10010,26_0_0_20170116205232826.jpg.chip.jpg,5,TRAIN
1883,2708,38_1_1_20170114030101602.jpg.chip.jpg,17,TRAIN
7039,10110,26_1_0_20170117175124289.jpg.chip.jpg,5,TRAIN
6496,9306,26_1_3_20170104214236981.jpg.chip.jpg,5,TRAIN
8400,12048,26_0_0_20170113135336472.jpg.chip.jpg,5,TRAIN
1061,1537,44_0_0_20170117003404757.jpg.chip.jpg,23,TRAIN
2782,3978,56_0_1_20170113184540735.jpg.chip.jpg,35,TRAIN
10828,15550,24_1_3_20170119171103008.jpg.chip.jpg,3,TRAIN
8457,12140,56_0_0_20170111211431463.jpg.chip.jpg,35,TRAIN
9694,13923,23_1_0_20170116221811019.jpg.chip.jpg,2,TRAIN
3559,5074,39_1_0_20170103184109643.jpg.chip.jpg,18,TRAIN
6516,9333,50_0_2_20170119205049471.jpg.chip.jpg,29,TRAIN
11118,15971,36_0_4_20170113133645566.jpg.chip.jpg,15,TRAIN
10802,15513,29_0_0_20170117202649479.jpg.chip.jpg,8,TRAIN
